420911	15
420912	22
420913	39
420914	67
420915	58
420916	21
420917	66
420918	63
420919	33
420920	88
420921	65
420922	255
420923	88
420924	43
420925	43
420926	33
420927	125
420928	235
420929	154
420930	213
420931	139
420932	22
420933	40
420934	55
420935	48
420936	23
420937	55
420938	16
420939	27
420940	244
420941	161
420942	93
420943	147
420944	189
420945	420
420946	336
420947	519
420948	416
420949	650
420950	449
420951	628
420952	296
420953	164
420954	225
420955	352
420956	186
420957	28
420958	72
420959	114
420960	161
420961	324
420962	96
420963	125
420964	110
420965	334
420966	265
420967	241
420968	305
420969	199
420970	237
420971	165
420972	84
420973	121
420974	144
420975	285
420976	42
420977	39
420978	25
420979	38
420980	85
420981	74
420982	35
420983	42
420984	8
420985	4
420986	238
420987	182
420988	263
420989	20
